citing_title,citing_year,citing_venue,citing_link,cites_stacy_paper
"Lower redemption of monthly Special Supplemental Nutrition Program for Women, Infants and Children benefits associated with higher risk of program discontinuation",2023,Public Health Nutrition,https://doi.org/10.1017/s136898002300201x,https://openalex.org/W3213634859
"Local Control, Discretion, and Administrative Burden: SNAP Interview Waivers and Caseloads During the COVID-19 Pandemic",2023,The American Review of Public Administration,https://doi.org/10.1177/02750740231186423,https://openalex.org/W2967747679
<scp>SNAP</scp>enrollment cycles: New insights from heterogeneous panel models with<scp>cross‐sectional</scp>dependence,2023,American Journal of Agricultural Economics,https://doi.org/10.1111/ajae.12390,https://openalex.org/W2967747679
Food Insecurity Among Members of the Armed Forces and Their Dependents,2023,RAND Corporation eBooks,https://doi.org/10.7249/rra1230-1,https://openalex.org/W2967747679
Evaluating Food Assistance Programs in the Presence of Food Waste: The Case of SNAP,2023,SSRN Electronic Journal,https://doi.org/10.2139/ssrn.4557513,https://openalex.org/W2967747679
FAIR2: A framework for addressing discrimination bias in social data science,2023,,https://doi.org/10.4995/carma2023.2023.16400,https://openalex.org/W3134769759
5th International Conference on Advanced Research Methods and Analytics (CARMA 2023),2023,,https://doi.org/10.4995/carma2023.2023.17009,https://openalex.org/W3134769759
Food insecurity and nutrition education: The role of Extension Master Gardeners in providing fresh produce to food pantries,2023,,https://doi.org/10.31274/td-20240329-346,https://openalex.org/W3134769759
Are Vaccination Campaigns Misinformed? Experimental Evidence from COVID-19 in Low- and Middle-Income Countries,2023,World Bank policy research working paper,https://doi.org/10.1596/1813-9450-10443,https://openalex.org/W4327973207
Statistical performance indicators and index—a new tool to measure country statistical capacity,2023,Scientific Data,https://doi.org/10.1038/s41597-023-01971-0,https://openalex.org/W4327973207
COVID-19 Pandemic and the Health and Well-Being of Vulnerable People in Vietnam,2023,,https://doi.org/10.1007/978-3-030-96778-9_127-1,https://openalex.org/W4327973207
Simulated Learners in Educational Technology: A Systematic Literature Review and a Turing-like Test,2023,International Journal of Artificial Intelligence in Education,https://doi.org/10.1007/s40593-023-00337-2,https://openalex.org/W2984160421
Stability and consistency of school effects: evidence from senior high schools in China,2023,School Effectiveness and School Improvement,https://doi.org/10.1080/09243453.2023.2206806,https://openalex.org/W2984160421
Teaching away from school: do school digital support influence teachers’ well-being during Covid-19 emergency?,2023,Large-scale Assessments in Education,https://doi.org/10.1186/s40536-023-00159-7,https://openalex.org/W2984160421
Stigma in the marketplace,2023,,https://doi.org/10.11606/t.12.2023.tde-14122023-191903,https://openalex.org/W4220744330
A Comparison of Student Growth Percentile and Value-added Models on School Quality Measures,2022,Digital Archive @ GSU,https://doi.org/10.57709/14423383,https://openalex.org/W2153122791
Teachers Performance Appraisal and Development and Instructional Competence,2022,Journal of Advances in Education and Philosophy,https://doi.org/10.36348/jaep.2022.v06i05.001,https://openalex.org/W2153122791
Evaluating Teacher Performance and Teaching Effectiveness: Conceptual and Methodological Considerations,2022,"Teacher education, learning innovation and accountability",https://doi.org/10.1007/978-3-031-13639-9_3,https://openalex.org/W2153122791
Learning Loss in Cambodia and the Use of EdTech during COVID-19,2022,"World Bank, Washington, DC eBooks",https://doi.org/10.1596/38351,https://openalex.org/W3142663501
Guidelines for Implementing Universal Screening to Support All Learners,2022,,https://doi.org/10.56383/iahf6237,https://openalex.org/W3142663501
Learning Losses during COVID-19: Global Estimates of an Invisible and Unequal Crisis,2022,"World Bank, Washington, DC eBooks",https://doi.org/10.1596/1813-9450-10218,https://openalex.org/W3142663501
Can learning be measured by phone? Evidence from Kenya,2022,Economics of Education Review,https://doi.org/10.1016/j.econedurev.2022.102309,https://openalex.org/W3142663501
The Way Forward in Analyzing National Educational Systems: A Re-Considered View,2022,,https://doi.org/10.35489/bsg-risewp_2022/110,https://openalex.org/W3142663501
The education index in the context of sustainability: Thermo-economic considerations,2022,Frontiers in Physics,https://doi.org/10.3389/fphy.2022.968033,https://openalex.org/W3142663501
A closer look at reading comprehension: Experimental evidence from Guatemala,2022,International Journal of Educational Development,https://doi.org/10.1016/j.ijedudev.2022.102630,https://openalex.org/W3142663501
The growing digital divide in education among primary and secondary children during the COVID-19 pandemic: An overview of social exclusion and education equality issues,2022,Journal of Human Behavior in the Social Environment,https://doi.org/10.1080/10911359.2022.2062515,https://openalex.org/W3142663501
Learning in Myanmar,2022,"Washington, DC: World Bank eBooks",https://doi.org/10.1596/37683,https://openalex.org/W3142663501
Impact of the Infant Formula Shortage on Breastfeeding Rates,2022,Journal of Pediatric Health Care,https://doi.org/10.1016/j.pedhc.2022.11.006,https://openalex.org/W2903171032
Prenatal Perception of WIC Breastfeeding Recommendations Predicts Breastfeeding Exclusivity and Duration in the Infants’ First Year,2022,Journal of Nutrition,https://doi.org/10.1093/jn/nxac221,https://openalex.org/W2903171032
"Housing Insecurity, Housing Conditions, and Breastfeeding Behaviors for Medicaid-Eligible Families in Urban Settings",2022,Journal of Human Lactation,https://doi.org/10.1177/08903344221108073,https://openalex.org/W2903171032
"The role of state breastfeeding laws and programs on exclusive breastfeeding practice among mothers in the special supplemental nutrition program for Women, Infants, and Children (WIC)",2022,International Breastfeeding Journal,https://doi.org/10.1186/s13006-022-00490-9,https://openalex.org/W2903171032
Grocery Purchase Changes Were Associated With A North Carolina COVID-19 Food Assistance Incentive Program,2022,Health Affairs,https://doi.org/10.1377/hlthaff.2022.00902,https://openalex.org/W3213634859
California WIC Participants Report Favorable Impacts of the COVID-Related Increase to the WIC Cash Value Benefit,2022,International Journal of Environmental Research and Public Health,https://doi.org/10.3390/ijerph191710604,https://openalex.org/W3213634859
Age differences in expenditure responses to Supplemental Nutrition Assistance Program benefits,2022,Applied Economic Perspectives and Policy,https://doi.org/10.1002/aepp.13316,https://openalex.org/W2967747679
Decisions that matter: State Supplemental Nutrition Assistance Program policy restrictiveness limits SNAP participation rate,2022,Social Science Quarterly,https://doi.org/10.1111/ssqu.13158,https://openalex.org/W2967747679
Estimation and interpretation of teacher value added in research applications,2022,Handbook of the economics of education,https://doi.org/10.1016/bs.hesedu.2022.11.002,https://openalex.org/W2008333872
Ambitious instruction and student achievement: Evidence from early career teachers and the TRU math observation instrument,2022,Teaching and Teacher Education,https://doi.org/10.1016/j.tate.2022.103779,https://openalex.org/W2008333872
Conceptualizing and Measuring Women’s Empowerment: Insights from Country Stakeholders in Asia,2022,SSRN Electronic Journal,https://doi.org/10.2139/ssrn.4088823,https://openalex.org/W4327973207
Quality measures in higher education: Norwegian evidence,2022,Economics of Education Review,https://doi.org/10.1016/j.econedurev.2022.102235,https://openalex.org/W2984160421
Representations of student performance data in local education policy,2022,Educational Assessment Evaluation and Accountability,https://doi.org/10.1007/s11092-022-09379-x,https://openalex.org/W2984160421
A Review of Interventions to Increase WIC Enrollment and Participation,2022,Journal of Community Health,https://doi.org/10.1007/s10900-022-01131-2,https://openalex.org/W4220744330
"Association Between State Supplemental Nutrition Assistance Program Policies, Child Protective Services Involvement, and Foster Care in the US, 2004-2016",2022,JAMA Network Open,https://doi.org/10.1001/jamanetworkopen.2022.21509,https://openalex.org/W3122015554
Dynamics of macroeconomic factor effects on food assistance program participation in the United States,2022,PLoS ONE,https://doi.org/10.1371/journal.pone.0269442,https://openalex.org/W3122015554
What Makes a Good High School? Measuring School Effects beyond the Average,2021,Economie et Statistique / Economics and Statistics,https://doi.org/10.24187/ecostat.2021.528d.2057,https://openalex.org/W2153122791
School Inequalities and Educational Policies: An Introduction,2021,Economie et Statistique / Economics and Statistics,https://doi.org/10.24187/ecostat.2021.528d.2056,https://openalex.org/W2153122791
Employee Participation in Corporate Governance: What Impact Does It Have on Performance and Cash Distribution Policy in the SBF 120 (2000-2014)?,2021,Economie et Statistique / Economics and Statistics,https://doi.org/10.24187/ecostat.2021.528d.2061,https://openalex.org/W2153122791
Social Diversity: A Review of Twelve Years of Targeting Priority Education Policies,2021,Economie et Statistique / Economics and Statistics,https://doi.org/10.24187/ecostat.2021.528d.2059,https://openalex.org/W2153122791
French Universities – A Melting Pot or a Hotbed of Social Segregation? A Measure of Polarisation within the French University System (2007-2015),2021,Economie et Statistique / Economics and Statistics,https://doi.org/10.24187/ecostat.2021.528d.2058,https://openalex.org/W2153122791
Inequalities in Skills at the End of Education,2021,Economie et Statistique / Economics and Statistics,https://doi.org/10.24187/ecostat.2021.528d.2060,https://openalex.org/W2153122791
The Struggling English Language Learners: Case Studies of English Language Learning Difficulties in EFL Context,2021,English Language Teaching,https://doi.org/10.5539/elt.v14n11p108,https://openalex.org/W2153122791
Developing a context-appropriate framework for measuring quality in initial teacher education,2021,Scottish Educational Review,https://doi.org/10.1163/27730840-05301002,https://openalex.org/W2153122791
"Employer Learning, Biased Beliefs, and Labor Market Discrimination",2021,Deep Blue (University of Michigan),https://doi.org/10.7302/3065,https://openalex.org/W2153122791
Remote Learning During COVID-19,2021,"World Bank, Washington, DC eBooks",https://doi.org/10.1596/36665,https://openalex.org/W3142663501
Accelerating progress towards eradicating child labour (SDG8.7) with quality education (SDG4): school quality is linked to reduced child cocoa labour in Côte d’Ivoire,2021,,https://doi.org/10.31730/osf.io/ex3ct,https://openalex.org/W3142663501
Catástrofes de la Educación o la Debacle que no Cesa: La Innovación como Lucha contra los Elementos,2021,REICE Revista Iberoamericana sobre Calidad Eficacia y Cambio en Educación,https://doi.org/10.15366/reice2021.19.4.006,https://openalex.org/W3142663501
The Unequal Impacts of COVID-19 on Student Learning,2021,,https://doi.org/10.1007/978-3-030-81500-4_16,https://openalex.org/W3142663501
Global Outlook,2021,Global economic prospects and the developing countries,https://doi.org/10.1596/978-1-4648-1665-9_ch1,https://openalex.org/W3142663501
"Breastfeeding Outcomes, Self-Efficacy, and Satisfaction Among Low-Income Women With Late-Preterm, Early-Term, and Full-Term Infants",2021,"Journal of Obstetric, Gynecologic & Neonatal Nursing",https://doi.org/10.1016/j.jogn.2021.06.010,https://openalex.org/W2903171032
"Promoting Responsive Bottle-Feeding Within WIC: Evaluation of a Policy, Systems, and Environmental Change Approach",2021,Journal of the Academy of Nutrition and Dietetics,https://doi.org/10.1016/j.jand.2021.05.003,https://openalex.org/W2903171032
Revisiting the relationship between WIC participation and breastfeeding among low-income children in the U.S. after the 2009 WIC food package revision,2021,Food Policy,https://doi.org/10.1016/j.foodpol.2021.102089,https://openalex.org/W2903171032
Racism and Resistance: A Qualitative Study of Bias As a Barrier to Breastfeeding,2021,Breastfeeding Medicine,https://doi.org/10.1089/bfm.2020.0307,https://openalex.org/W2903171032
Associations Among Select State Policies and the Nutritional Quality of Household Packaged Food Purchases in the United States from 2008 Through 2017,2021,Journal of the Academy of Nutrition and Dietetics,https://doi.org/10.1016/j.jand.2021.09.017,https://openalex.org/W2967747679
Nationwide Assessment of SNAP Online Purchasing Pilot State Communication Efforts During the COVID-19 Pandemic,2021,Journal of Nutrition Education and Behavior,https://doi.org/10.1016/j.jneb.2021.07.004,https://openalex.org/W2967747679
Sludge,2021,The MIT Press eBooks,https://doi.org/10.7551/mitpress/13859.001.0001,https://openalex.org/W2967747679
Do State SNAP Policies Influence Program Participation among Seniors?,2021,National Bureau of Economic Research,https://doi.org/10.3386/w29037,https://openalex.org/W2967747679
Estimating Test-Score Growth for Schools and Districts With a Gap Year in the Data,2021,AERA Open,https://doi.org/10.1177/23328584211041346,https://openalex.org/W2008333872
Roles of Cities in Creating Healthful Food Systems,2021,Annual Review of Public Health,https://doi.org/10.1146/annurev-publhealth-052220-021059,https://openalex.org/W3134769759
Methods Summary and Data Tables,2021,Cambridge University Press eBooks,https://doi.org/10.1017/9781009106559.009,https://openalex.org/W4327973207
The Highways and Side Roads of Statistical Capacity Building,2021,SSRN Electronic Journal,https://doi.org/10.2139/ssrn.3916194,https://openalex.org/W4327973207
Do They See What I See? Toward a Better Understanding of the 7Cs Framework of Teaching Effectiveness,2021,Educational Assessment,https://doi.org/10.1080/10627197.2020.1858784,https://openalex.org/W2554311009
Social Transfers and Spatial Distortions,2021,,https://doi.org/10.21034/iwp.54,https://openalex.org/W3122015554
Changes in Supplemental Nutrition Assistance Program Policies and Diabetes Prevalence: Analysis of Behavioral Risk Factor Surveillance System Data From 2004 to 2014,2021,Diabetes Care,https://doi.org/10.2337/dc21-1203,https://openalex.org/W3122015554
Long‐run effects of teachers in developing countries,2020,Review of Development Economics,https://doi.org/10.1111/rode.12717,https://openalex.org/W2153122791
White Paper: Considerations for Measuring Academic Growth on Dynamic Learning Maps® (DLM®) Alternate Assessments,2020,,https://doi.org/10.35542/osf.io/bqjc4,https://openalex.org/W2153122791
How to Improve Education Outcomes Most Efficiently? A Comparison of 150 Interventions using the New Learning-Adjusted Years of Schooling Metric,2020,"World Bank, Washington, DC eBooks",https://doi.org/10.1596/1813-9450-9450,https://openalex.org/W3142663501
The Downs and Ups of the <scp>SNAP</scp> Caseload: What Matters?,2020,Applied Economic Perspectives and Policy,https://doi.org/10.1002/aepp.13076,https://openalex.org/W2967747679
When States Align Social Welfare Programs: Considering the Child Support Income Exclusion for SNAP,2020,Social Science Quarterly,https://doi.org/10.1111/ssqu.12864,https://openalex.org/W2967747679
Strengthening the Public Health Impacts of the Supplemental Nutrition Assistance Program Through Policy,2020,Annual Review of Public Health,https://doi.org/10.1146/annurev-publhealth-040119-094143,https://openalex.org/W2967747679
Examining the Social Safety Net Response to the COVID-19 Pandemic,2020,SSRN Electronic Journal,https://doi.org/10.2139/ssrn.3693339,https://openalex.org/W2967747679
Using test scores to evaluate and hold school teachers accountable in New Mexico,2020,Educational Assessment Evaluation and Accountability,https://doi.org/10.1007/s11092-020-09324-w,https://openalex.org/W2008333872
"Journal of Sociology and Social Welfare Vo. 47, No. 3",2020,The Journal of Sociology & Social Welfare,https://doi.org/10.15453/0191-5096.4440,https://openalex.org/W3134769759
Childhood SNAP Receipt as a Protective Factor Against Adult Obesity: Examining the Interaction of SNAP Participation and Neighborhood Disadvantage,2020,The Journal of Sociology & Social Welfare,https://doi.org/10.15453/0191-5096.4321,https://openalex.org/W3134769759
Comparing and assessing the consequences of two different approaches to measuring school effectiveness,2019,Educational Assessment Evaluation and Accountability,https://doi.org/10.1007/s11092-019-09308-5,https://openalex.org/W2153122791
Criterion-Referenced Value-Added Scores,2019,,https://doi.org/10.35542/osf.io/28t65,https://openalex.org/W2153122791
Comparing the Accuracy of Student Growth Measures,2019,Journal of Educational Measurement,https://doi.org/10.1111/jedm.12242,https://openalex.org/W2153122791
The Mechanics of Treatment-effect Estimate Bias for Nonexperimental Data,2019,Sociological Methods & Research,https://doi.org/10.1177/0049124119852375,https://openalex.org/W2153122791
An optimization-based DSS for student-to-teacher assignment: Classroom heterogeneity and teacher performance measures,2019,Decision Support Systems,https://doi.org/10.1016/j.dss.2019.02.006,https://openalex.org/W2153122791
Student Growth Percentiles 101: Using Relative Ranks in Student Test Scores to Help Measure Teaching Effectiveness,2019,RAND Corporation eBooks,https://doi.org/10.7249/rr4312.2,https://openalex.org/W2153122791
"Racial and Ethnic Differences in Reasons for Breastfeeding Cessation Among Women Participating in the Special Supplemental Nutrition Program for Women, Infants, and Children",2019,Journal of Midwifery & Women s Health,https://doi.org/10.1111/jmwh.13031,https://openalex.org/W2903171032
WIC Participation and Breastfeeding after the 2009 WIC Revision: A Propensity Score Approach,2019,International Journal of Environmental Research and Public Health,https://doi.org/10.3390/ijerph16152645,https://openalex.org/W2903171032
Nutrition Monitoring of Children Aged Birth to 24 Mo (B-24): Data Collection and Findings from the NHANES,2019,Advances in Nutrition,https://doi.org/10.1093/advances/nmz077,https://openalex.org/W2903171032
Effectiveness of Peer Counselor Support on Breastfeeding Outcomes in WIC-Enrolled Women,2019,Journal of Nutrition Education and Behavior,https://doi.org/10.1016/j.jneb.2019.03.005,https://openalex.org/W2903171032
SNAP at the Community Scale: How Neighborhood Characteristics Affect Participation and Food Access,2019,American Journal of Public Health,https://doi.org/10.2105/ajph.2019.305363,https://openalex.org/W3134769759
Full-day Schooling and Educational Inequality in Vietnam,2018,The Journal of Development Studies,https://doi.org/10.1080/00220388.2018.1469744,https://openalex.org/W2153122791
Does the precision and stability of value-added estimates of teacher performance depend on the types of students they serve?,2018,Economics of Education Review,https://doi.org/10.1016/j.econedurev.2018.04.001,https://openalex.org/W2153122791
Educational Achievement of Indigenous Students in Chile: School Composition and Peer Effects,2018,Comparative Education Review,https://doi.org/10.1086/696957,https://openalex.org/W2153122791
Median Growth Percentiles (MGPs): Assessment of Intertemporal Stability and Correlations with Observational Scores,2018,Educational Assessment,https://doi.org/10.1080/10627197.2018.1449634,https://openalex.org/W2153122791
Value-Added and Growth Models in Education Research,2018,,https://doi.org/10.1007/978-3-319-93539-3_11,https://openalex.org/W2153122791
Value-Added and Student Growth Percentile Models: What Drives Differences in Estimated Classroom Effects?,2018,Statistics and Public Policy,https://doi.org/10.1080/2330443x.2018.1438938,https://openalex.org/W2153122791
Using the TxVAAS to Improve Teacher Effectiveness: Investigating the Research-Situated “Truths” Behind TxVAAS Claims,2018,Journal of Educational Research and Practice,https://doi.org/10.5590/jerap.2018.08.1.12,https://openalex.org/W2008333872
SNAP Take-Up and Transaction Costs: An Analysis Using the Food Security Survey,2018,SSRN Electronic Journal,https://doi.org/10.2139/ssrn.3305961,https://openalex.org/W3122015554
Teacher quality and student achievement in Chile: Linking teachers' contribution and observable characteristics,2017,International Journal of Educational Development,https://doi.org/10.1016/j.ijedudev.2017.09.009,https://openalex.org/W2153122791
Measuring quality in initial teacher education : A literature review for Scotland’s MQuITE Study.,2017,ENLIGHTEN (Jurnal Bimbingan dan Konseling Islam),http://eprints.gla.ac.uk/view/author/74638.html>,https://openalex.org/W2153122791
"A failed marriage between standardization and incentivism: Divergent perspectives on the aims of performance-based compensation in Shanghai, China",2017,Education Policy Analysis Archives,https://doi.org/10.14507/epaa.25.2891,https://openalex.org/W2153122791
Value Added Estimation in the Presence of Missing Data,2017,RePEc: Research Papers in Economics,https://EconPapers.repec.org/RePEc:fsu:wpaper:wp2017_08_02,https://openalex.org/W2153122791
School Management and Public–Private Partnerships in Uganda,2017,Journal of African Economies,https://doi.org/10.1093/jae/ejx021,https://openalex.org/W2153122791
School Management and Public-Private Partnerships in Uganda,2017,,https://doi.org/10.35489/bsg-rise-wp_2017/013,https://openalex.org/W2153122791
The Implications of Reduced Testing for Teacher Accountability,2017,AERA Open,https://doi.org/10.1177/2332858417704411,https://openalex.org/W2153122791
The Accuracy of Aggregate Student Growth Percentiles as Indicators of Educator Performance,2017,Educational Measurement Issues and Practice,https://doi.org/10.1111/emip.12144,https://openalex.org/W2153122791
Methods for Accounting for Co-Teaching in Value-Added Models,2016,Statistics and Public Policy,https://doi.org/10.1080/2330443x.2016.1265473,https://openalex.org/W2153122791
Principal holistic judgments and high-stakes evaluations of teachers,2016,Educational Assessment Evaluation and Accountability,https://doi.org/10.1007/s11092-016-9256-7,https://openalex.org/W2153122791
Building Teacher Teams,2016,Educational Evaluation and Policy Analysis,https://doi.org/10.3102/0162373716665698,https://openalex.org/W2153122791
The Impact of Summer Learning Loss on Measures of School Performance,2016,Education Finance and Policy,https://doi.org/10.1162/edfp_a_00213,https://openalex.org/W2153122791
Exploring Complete School Effectiveness via Quantile Value Added,2016,Journal of the Royal Statistical Society Series A (Statistics in Society),https://doi.org/10.1111/rssa.12195,https://openalex.org/W2153122791
"Linking Teacher Quality, Student Attendance, and Student Achievement",2016,Education Finance and Policy,https://doi.org/10.1162/edfp_a_00180,https://openalex.org/W2008333872
The Implications of Summer Learning Loss for Value-Added Estimates of Teacher Effectiveness,2016,Educational Policy,https://doi.org/10.1177/0895904815625288,https://openalex.org/W2008333872
Validating “value added” in the primary grades: one district’s attempts to increase fairness and inclusivity in its teacher evaluation system,2015,Educational Assessment Evaluation and Accountability,https://doi.org/10.1007/s11092-015-9234-5,https://openalex.org/W2153122791
The Impact of Measurement Error on the Accuracy of Individual and Aggregate SGP,2015,Educational Measurement Issues and Practice,https://doi.org/10.1111/emip.12062,https://openalex.org/W2153122791
Does Full-day Schooling Reduce Educational Inequality in Vietnam?,2015,,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.715.4643,https://openalex.org/W2153122791
Value-added modeling: A review,2015,Economics of Education Review,https://doi.org/10.1016/j.econedurev.2015.01.006,https://openalex.org/W2008333872
Assessing the “Rothstein Falsification Test”: Does It Really Show Teacher Value-Added Models Are Biased?,2015,Journal of Research on Educational Effectiveness,https://doi.org/10.1080/19345747.2014.978059,https://openalex.org/W2008333872
Can Value-Added Measures of Teacher Performance Be Trusted?,2014,Education Finance and Policy,https://doi.org/10.1162/edfp_a_00153,https://openalex.org/W2008333872
Should Value-Added Models Control for Student Absences?,2014,SSRN Electronic Journal,https://doi.org/10.2139/ssrn.2562962,https://openalex.org/W2008333872
Concurrent Validity of Standards-Based Assessments of Teacher Candidate Readiness for Licensure,2014,SAGE Open,https://doi.org/10.1177/2158244014560545,https://openalex.org/W2554311009
Review of Two Culminating Reports from the MET Project,2013,RePEc: Research Papers in Economics,,https://openalex.org/W2554311009
R E S EA RCH-BA S ED OP T IO NS FO R EDUC AT IO N POL IC YM AK I NG,2013,,https://nepc.colorado.edu/files/pb-options-7-ellparents.pdf,https://openalex.org/W2554311009
